2026-04-21 17:23:22 | PID=3469 | NAME=gnome-shell | CPU=6.03% (limit 80.00) | MEM=568868KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:23:22 | PID=3469 | NAME=gnome-shell | CPU=6.03% (limit 80.00) | MEM=568868KB (limit 512000KB) | ACTION=TERM | SIGTERM success
2026-04-21 17:23:22 | PID=4368 | NAME=brave | CPU=0.00% (limit 80.00) | MEM=807012KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:23:22 | PID=4368 | NAME=brave | CPU=0.00% (limit 80.00) | MEM=807012KB (limit 512000KB) | ACTION=ERROR | kill failed or no permission
2026-04-21 17:23:22 | PID=15158 | NAME=code | CPU=1.51% (limit 80.00) | MEM=700832KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:23:23 | PID=15158 | NAME=code | CPU=1.51% (limit 80.00) | MEM=700832KB (limit 512000KB) | ACTION=KILL | SIGTERM then SIGKILL
2026-04-21 17:23:23 | PID=33195 | NAME=brave | CPU=0.00% (limit 80.00) | MEM=854172KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:23:23 | PID=33195 | NAME=brave | CPU=0.00% (limit 80.00) | MEM=854172KB (limit 512000KB) | ACTION=ERROR | kill failed or no permission
2026-04-21 17:23:31 | PID=70109 | NAME=apport | CPU=96.84% (limit 80.00) | MEM=108460KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:23:56 | PID=72830 | NAME=code | CPU=2.55% (limit 80.00) | MEM=523280KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:23:57 | PID=72830 | NAME=code | CPU=2.55% (limit 80.00) | MEM=523280KB (limit 512000KB) | ACTION=TERM | SIGTERM success
2026-04-21 17:24:05 | PID=73736 | NAME=code | CPU=7.62% (limit 80.00) | MEM=538716KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:24:05 | PID=73736 | NAME=code | CPU=7.62% (limit 80.00) | MEM=538716KB (limit 512000KB) | ACTION=TERM | SIGTERM success
2026-04-21 17:24:13 | PID=74090 | NAME=code | CPU=7.05% (limit 80.00) | MEM=537860KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:24:13 | PID=74090 | NAME=code | CPU=7.05% (limit 80.00) | MEM=537860KB (limit 512000KB) | ACTION=TERM | SIGTERM success
2026-04-21 17:36:02 | PID=4672 | NAME=code | CPU=1.01% (limit 80.00) | MEM=561680KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:36:08 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561640KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:36:14 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561276KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:36:20 | PID=4672 | NAME=code | CPU=0.49% (limit 80.00) | MEM=561348KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:36:26 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562032KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:36:32 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561316KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:36:38 | PID=4672 | NAME=code | CPU=0.49% (limit 80.00) | MEM=561356KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:36:44 | PID=4672 | NAME=code | CPU=0.49% (limit 80.00) | MEM=561340KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:36:50 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561480KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:36:56 | PID=4672 | NAME=code | CPU=0.98% (limit 80.00) | MEM=561504KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:02 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561796KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:08 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561512KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:14 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561704KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:20 | PID=4672 | NAME=code | CPU=1.01% (limit 80.00) | MEM=561632KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:26 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561540KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:32 | PID=4672 | NAME=code | CPU=0.51% (limit 80.00) | MEM=561652KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:36 | PID=11078 | NAME=brave | CPU=5.50% (limit 80.00) | MEM=520852KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:38 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561564KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:42 | PID=11078 | NAME=brave | CPU=0.50% (limit 80.00) | MEM=514108KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:44 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=561620KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:48 | PID=11078 | NAME=brave | CPU=0.50% (limit 80.00) | MEM=514180KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:50 | PID=4672 | NAME=code | CPU=1.01% (limit 80.00) | MEM=561592KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:37:56 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=561600KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:38:02 | PID=4672 | NAME=code | CPU=0.51% (limit 80.00) | MEM=561600KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
